ASV_original,ASV_updated,ASV_genus,ASV_species,ASV_culture,ASV_seqrun,Culture_collection,ASV_ID,SSU_kingdom,SSU_phylum,SSU_class,SSU_order,SSU_family,SSU_genus,SSU_species,SSU_Consensus,ITS_kingdom,ITS_phylum,ITS_class,ITS_order,ITS_family,ITS_genus,ITS_species,ITS_Consensus,fg_confidence,ft_primary_lifestyle,ft_secondary_lifestyle,LSU_phylum,LSU_family,LSU_genus,SSU_primer_success,ITS_primer_success,LSU_primer_align_success,method_LSU
Gigaspora_margarita_120_7A_KU_ASV1308,Gigaspora_margarita_120_7A_KU_ASV1308_BeverSchultz,Gigaspora,margarita,120_7A,KU,BeverSchultz,ASV1308,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_margarita_120_7A_KU_ASV1309,Gigaspora_margarita_120_7A_KU_ASV1309_BeverSchultz,Gigaspora,margarita,120_7A,KU,BeverSchultz,ASV1309,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_margarita_120_7A_KU_ASV1311,Gigaspora_margarita_120_7A_KU_ASV1311_BeverSchultz,Gigaspora,margarita,120_7A,KU,BeverSchultz,ASV1311,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.8,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Racocetra_sp_179_Blask4_ZU_ASV1373,Racocetra_sp_179_Blask4_ZU_ASV1373_Blaszkowski,Racocetra,sp,179_Blask4,ZU,Blaszkowski,ASV1373,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.9,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,NA,NA,NA,1,Highly_Probable,NA,NA,Glomeromycota,Gigasporaceae,Racocetra,yes,yes,yes,primer
Racocetra_sp._179_Blask4_ZU_ASV1374,Racocetra_sp._179_Blask4_ZU_ASV1374_Blaszkowski,Racocetra,sp.,179_Blask4,ZU,Blaszkowski,ASV1374,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.9,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,NA,NA,NA,1,Highly_Probable,NA,NA,Glomeromycota,Gigasporaceae,Racocetra,yes,yes,yes,primer
Racocetra_sp._179_Blask4_ZU_ASV1375,Racocetra_sp._179_Blask4_ZU_ASV1375_Blaszkowski,Racocetra,sp.,179_Blask4,ZU,Blaszkowski,ASV1375,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.9,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,NA,NA,NA,1,Highly_Probable,NA,NA,Glomeromycota,Gigasporaceae,Racocetra,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1256,Funneliformis_mosseae_510_4A_KU_ASV1256_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1256,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1257,Funneliformis_mosseae_510_4A_KU_ASV1257_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1257,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1270,Funneliformis_mosseae_510_4A_KU_ASV1270_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1270,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,0.6,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1272,Funneliformis_mosseae_510_4A_KU_ASV1272_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1272,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1273,Funneliformis_mosseae_510_4A_KU_ASV1273_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1273,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,0.6,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1276,Funneliformis_mosseae_510_4A_KU_ASV1276_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1276,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1277,Funneliformis_mosseae_510_4A_KU_ASV1277_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1277,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1260,Funneliformis_mosseae_87_11_KU_ASV1260_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1260,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1262,Funneliformis_mosseae_87_11_KU_ASV1262_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1262,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1263,Funneliformis_mosseae_87_11_KU_ASV1263_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1263,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1264,Funneliformis_mosseae_87_11_KU_ASV1264_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1264,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1265,Funneliformis_mosseae_87_11_KU_ASV1265_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1265,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1267,Funneliformis_mosseae_87_11_KU_ASV1267_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1267,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1268,Funneliformis_mosseae_87_11_KU_ASV1268_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1268,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1274,Funneliformis_mosseae_87_11_KU_ASV1274_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1274,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1281,Funneliformis_mosseae_87_11_KU_ASV1281_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1281,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1283,Funneliformis_mosseae_87_11_KU_ASV1283_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1283,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1285,Funneliformis_mosseae_87_11_KU_ASV1285_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1285,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1286,Funneliformis_mosseae_87_11_KU_ASV1286_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1286,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_87_11_KU_ASV1287,Funneliformis_mosseae_87_11_KU_ASV1287_BeverSchultz,Funneliformis,mosseae,87_11,KU,BeverSchultz,ASV1287,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Ambispora_fennica_Af2_ZU_ASV1109,Ambispora_fennica_Af2_ZU_ASV1109_KrugerWalker,Ambispora,fennica,Af2,ZU,KrugerWalker,ASV1109,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,VTX00283,1,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,NA,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Ambisporaceae,Ambispora,yes,yes,yes,primer
Ambispora_fennica_Af2_ZU_ASV1110,Ambispora_fennica_Af2_ZU_ASV1110_KrugerWalker,Ambispora,fennica,Af2,ZU,KrugerWalker,ASV1110,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,VTX00283,1,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,NA,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Ambisporaceae,Ambispora,yes,yes,yes,primer
Ambispora_fennica_Af2_ZU_ASV1111,Ambispora_fennica_Af2_ZU_ASV1111_KrugerWalker,Ambispora,fennica,Af2,ZU,KrugerWalker,ASV1111,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,VTX00283,1,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,NA,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Ambisporaceae,Ambispora,yes,yes,yes,primer
Ambispora_fennica_Af2_ZU_ASV1112,Ambispora_fennica_Af2_ZU_ASV1112_KrugerWalker,Ambispora,fennica,Af2,ZU,KrugerWalker,ASV1112,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,VTX00283,1,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,NA,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Ambisporaceae,Ambispora,yes,yes,yes,primer
Ambispora_fennica_Af2_ZU_ASV1113,Ambispora_fennica_Af2_ZU_ASV1113_KrugerWalker,Ambispora,fennica,Af2,ZU,KrugerWalker,ASV1113,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,VTX00283,1,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,NA,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Ambisporaceae,Ambispora,yes,yes,yes,primer
Gigaspora_decipiens_AU102_9_KU_ASV1301,Gigaspora_decipiens_AU102_9_KU_ASV1301_INVAM,Gigaspora,decipiens,AU102_9,KU,INVAM,ASV1301,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.8,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_decipiens_AU102_9_KU_ASV1302,Gigaspora_decipiens_AU102_9_KU_ASV1302_INVAM,Gigaspora,decipiens,AU102_9,KU,INVAM,ASV1302,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.8,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_decipiens_AU102_9_KU_ASV1303,Gigaspora_decipiens_AU102_9_KU_ASV1303_INVAM,Gigaspora,decipiens,AU102_9,KU,INVAM,ASV1303,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.6,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Scutellospora_calospora_AU212B_ZUII_ASV1413,Scutellospora_calospora_AU212B_ZUII_ASV1413_INVAM,Scutellospora,calospora,AU212B,ZUII,INVAM,ASV1413,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00049,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Scutellosporaceae,Scutellospora,NA,0.6,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Scutellospora,yes,yes,yes,primer
Scutellospora_calospora_AU212B_ZUII_ASV1414,Scutellospora_calospora_AU212B_ZUII_ASV1414_INVAM,Scutellospora,calospora,AU212B,ZUII,INVAM,ASV1414,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00049,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Scutellosporaceae,Scutellospora,NA,0.6,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Scutellospora,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1007,Funneliformis_mosseae_BEG12_ZU_ASV1007_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1007,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZUII_ASV1007,Funneliformis_mosseae_BEG12_ZUII_ASV1007_BEG,Funneliformis,mosseae,BEG12,ZUII,BEG,ASV1007,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1020,Funneliformis_mosseae_BEG12_ZU_ASV1020_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1020,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZUII_ASV1020,Funneliformis_mosseae_BEG12_ZUII_ASV1020_BEG,Funneliformis,mosseae,BEG12,ZUII,BEG,ASV1020,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1036,Funneliformis_mosseae_BEG12_ZU_ASV1036_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1036,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZUII_ASV1036,Funneliformis_mosseae_BEG12_ZUII_ASV1036_BEG,Funneliformis,mosseae,BEG12,ZUII,BEG,ASV1036,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1041,Funneliformis_mosseae_BEG12_ZU_ASV1041_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1041,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZUII_ASV1041,Funneliformis_mosseae_BEG12_ZUII_ASV1041_BEG,Funneliformis,mosseae,BEG12,ZUII,BEG,ASV1041,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1050,Funneliformis_mosseae_BEG12_ZU_ASV1050_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1050,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZUII_ASV1050,Funneliformis_mosseae_BEG12_ZUII_ASV1050_BEG,Funneliformis,mosseae,BEG12,ZUII,BEG,ASV1050,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1242,Funneliformis_mosseae_BEG12_ZU_ASV1242_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1242,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.8,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1243,Funneliformis_mosseae_BEG12_ZU_ASV1243_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1243,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.8,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1244,Funneliformis_mosseae_BEG12_ZU_ASV1244_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1244,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1246,Funneliformis_mosseae_BEG12_ZU_ASV1246_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1246,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1248,Funneliformis_mosseae_BEG12_ZU_ASV1248_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1248,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_BEG12_ZU_ASV1250,Funneliformis_mosseae_BEG12_ZU_ASV1250_BEG,Funneliformis,mosseae,BEG12,ZU,BEG,ASV1250,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glomeromycota,Septoglomeraceae,Funneliformis,yes,no,yes,primer
Acaulospora_laevis_BEG13_ZUII_ASV1083,Acaulospora_laevis_BEG13_ZUII_ASV1083_BEG,Acaulospora,laevis,BEG13,ZUII,BEG,ASV1083,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,VTX00023,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,laevis,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Acaulosporaceae,Acaulospora,yes,yes,yes,primer
