ASV_original,ASV_updated,ASV_genus,ASV_species,ASV_culture,ASV_seqrun,Culture_collection,ASV_ID,SSU_kingdom,SSU_phylum,SSU_class,SSU_order,SSU_family,SSU_genus,SSU_species,SSU_Consensus,ITS_kingdom,ITS_phylum,ITS_class,ITS_order,ITS_family,ITS_genus,ITS_species,ITS_Consensus,fg_confidence,ft_primary_lifestyle,ft_secondary_lifestyle,LSU_phylum,LSU_family,LSU_genus,SSU_primer_success,ITS_primer_success,LSU_primer_align_success,method_LSU
Diversispora_eburnea_P1-bc1059-529-s134_STFP_ASV2525,Diversispora_eburnea_P1-bc1059-529-s134_STFP_ASV2525_CCAMF,Diversispora,eburnea,P1-bc1059-529-s134,STFP,CCAMF,ASV2525,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,0.9,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_eburnea_P1-bc1059-529-s161_STFP_ASV2520,Diversispora_eburnea_P1-bc1059-529-s161_STFP_ASV2520_CCAMF,Diversispora,eburnea,P1-bc1059-529-s161,STFP,CCAMF,ASV2520,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,0.9,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_eburnea_P1-bc1059-529-s173_STFP_ASV2523,Diversispora_eburnea_P1-bc1059-529-s173_STFP_ASV2523_CCAMF,Diversispora,eburnea,P1-bc1059-529-s173,STFP,CCAMF,ASV2523,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,0.7,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.8,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_eburnea_P1-bc1059-529-s23_STFP_ASV2530,Diversispora_eburnea_P1-bc1059-529-s23_STFP_ASV2530_CCAMF,Diversispora,eburnea,P1-bc1059-529-s23,STFP,CCAMF,ASV2530,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,0.9,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_eburnea_P1-bc1059-529-s29_STFP_ASV2521,Diversispora_eburnea_P1-bc1059-529-s29_STFP_ASV2521_CCAMF,Diversispora,eburnea,P1-bc1059-529-s29,STFP,CCAMF,ASV2521,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,0.7,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_eburnea_P1-bc1059-529-s36_STFP_ASV2526,Diversispora_eburnea_P1-bc1059-529-s36_STFP_ASV2526_CCAMF,Diversispora,eburnea,P1-bc1059-529-s36,STFP,CCAMF,ASV2526,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,0.7,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_eburnea_P1-bc1059-529-s37_STFP_ASV2528,Diversispora_eburnea_P1-bc1059-529-s37_STFP_ASV2528_CCAMF,Diversispora,eburnea,P1-bc1059-529-s37,STFP,CCAMF,ASV2528,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,0.9,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Funneliformis_geosporum_P1-bc1064-518-s125_STFP_ASV2175,Funneliformis_geosporum_P1-bc1064-518-s125_STFP_ASV2175_CCAMF,Funneliformis,geosporum,P1-bc1064-518-s125,STFP,CCAMF,ASV2175,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00065,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,0.6,Highly|_Probable,NA,NA,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_geosporum_P1-bc1064-518-s87_STFP_ASV2177,Funneliformis_geosporum_P1-bc1064-518-s87_STFP_ASV2177_CCAMF,Funneliformis,geosporum,P1-bc1064-518-s87,STFP,CCAMF,ASV2177,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00065,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,0.6,Highly|_Probable,NA,NA,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_geosporum_P1-bc1064-518-s89_STFP_ASV2176,Funneliformis_geosporum_P1-bc1064-518-s89_STFP_ASV2176_CCAMF,Funneliformis,geosporum,P1-bc1064-518-s89,STFP,CCAMF,ASV2176,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00065,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,0.6,Highly|_Probable,NA,NA,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Gigaspora_rosea_P1-bc1066-506-s103_STFP_ASV2638,Gigaspora_rosea_P1-bc1066-506-s103_STFP_ASV2638_CCAMF,Gigaspora,rosea,P1-bc1066-506-s103,STFP,CCAMF,ASV2638,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,NA,1,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_rosea_P1-bc1066-506-s123_STFP_ASV2640,Gigaspora_rosea_P1-bc1066-506-s123_STFP_ASV2640_CCAMF,Gigaspora,rosea,P1-bc1066-506-s123,STFP,CCAMF,ASV2640,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,NA,1,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_rosea_P1-bc1066-506-s126_STFP_ASV2637,Gigaspora_rosea_P1-bc1066-506-s126_STFP_ASV2637_CCAMF,Gigaspora,rosea,P1-bc1066-506-s126,STFP,CCAMF,ASV2637,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,NA,1,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
