ASV_updated,SSU_FAMILY_x_LSU_family,SSU_genus_x_LSU_genus,ITS_family_x_LSU_family,ITS_genus_x_LSU_genus,ITS_species_x_LSU_species
Microdominikia_litorea_P2-bc1093-1557-s13_STFP_ASV2419_CCAMF,Outdated,LSU_NA,Outdated,LSU_NA,NA
Microdominikia_litorea_P2-bc1093-1557-s34_STFP_ASV2420_CCAMF,Outdated,LSU_NA,Outdated,LSU_NA,NA
Microdominikia_litorea_P2-bc1093-1557-s35_STFP_ASV2418_CCAMF,Outdated,LSU_NA,Outdated,LSU_NA,NA
Microdominikia_litorea_P2-bc1093-1557-s37_STFP_ASV2417_CCAMF,Outdated,LSU_NA,Outdated,LSU_NA,NA
Dominikia_bonfanteae_P2-bc1095-754-s1072_STFP_ASV2404_CCAMF,Outdated,Wrong,Outdated,NA,NA
Dominikia_bonfanteae_P2-bc1095-754-s155_STFP_ASV2406_CCAMF,Outdated,Wrong,Outdated,NA,NA
Dominikia_bonfanteae_P2-bc1095-754-s274_STFP_ASV2405_CCAMF,Outdated,Wrong,Outdated,NA,NA
Dominikia_duoreactiva_P3-bc1062-1141-s21_STFP_ASV2407_CCAMF,Outdated,Wrong,Outdated,Correct,NA
Dominikia_bonfanteae_P2-bc1096-1522-s46_STFP_ASV2408_CCAMF,Outdated,Wrong,Outdated,Correct,NA
Dominikia_bonfanteae_P2-bc1096-1522-s69_STFP_ASV2409_CCAMF,Outdated,Wrong,Outdated,Correct,NA
Rhizophagus_intraradices_P3-bc1004-23-s60_STFP_ASV2488_CCAMF,Outdated,Outdated,Outdated,Outdated,Correct
Rhizophagus_sp._P3-bc1005-74-s151_STFP_ASV2042_CCAMF,Outdated,Outdated,Outdated,NA,LSU_NA
Rhizophagus_sp._P3-bc1005-74-s30_STFP_ASV2095_CCAMF,Outdated,Outdated,Outdated,NA,LSU_NA
Rhizophagus_sp._P3-bc1005-74-s33_STFP_ASV2110_CCAMF,Outdated,Outdated,Outdated,NA,LSU_NA
Gigaspora_rosea_P3-bc1021-694-s22_STFP_ASV2009_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_macrocarpum_P3-bc1031-1214-s13_STFP_ASV2012_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_macrocarpum_P3-bc1031-1214-s38_STFP_ASV2356_CCAMF,Correct,Correct,Correct,Correct,Correct
Glomus_rugosae_P3-bc1033-65-s103_STFP_ASV2072_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P3-bc1033-65-s155_STFP_ASV2087_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1033-65-s40_STFP_ASV2068_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P3-bc1037-733-s1196_STFP_ASV2053_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P3-bc1037-733-s37_STFP_ASV2335_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P3-bc1037-733-s65_STFP_ASV2334_CCAMF,Correct,Correct,Correct,Correct,NA
Paraglomus_brasilianum_P3-bc1043-1464-s190_STFP_ASV2672_CCAMF,Correct,Correct,Correct,Correct,NA
Paraglomus_brasilianum_P3-bc1043-1464-s53_STFP_ASV2674_CCAMF,Correct,Correct,NA,NA,NA
Paraglomus_brasilianum_P3-bc1043-1464-s54_STFP_ASV2673_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_varaderana_P3-bc1055-692-s533_STFP_ASV2039_CCAMF,Correct,Correct,Correct,Correct,NA
Septoglomus_sp._P3-bc1056-1387-s156_STFP_ASV2304_CCAMF,Outdated,Outdated,Outdated,Correct,LSU_NA
Septoglomus_sp._P3-bc1056-1387-s1715_STFP_ASV2303_CCAMF,Outdated,Outdated,Outdated,Correct,LSU_NA
Septoglomus_sp._P3-bc1056-1387-s184_STFP_ASV2308_CCAMF,Outdated,Outdated,Outdated,NA,LSU_NA
Septoglomus_sp._P3-bc1056-1387-s37_STFP_ASV2305_CCAMF,Outdated,Outdated,Outdated,Correct,LSU_NA
Septoglomus_sp._P3-bc1056-1387-s56_STFP_ASV2309_CCAMF,Outdated,Outdated,Outdated,NA,LSU_NA
Diversispora_epigaea_P3-bc1057-1525-2_STFP_ASV2561_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_epigaea_P3-bc1057-1525-s109_STFP_ASV2558_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_epigaea_P3-bc1057-1525-s186_STFP_ASV2557_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_epigaea_P3-bc1057-1525-s27_STFP_ASV2560_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_epigaea_P3-bc1057-1525-s28_STFP_ASV2559_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_epigaea_P3-bc1057-1525-s83_STFP_ASV2556_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_epigaea_P3-bc1057-1525-s94_STFP_ASV2553_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_epigaea_P3-bc1057-1525-s98_STFP_ASV2563_CCAMF,Correct,Correct,Correct,Correct,Correct
Diversispora_spurca_P3-bc1059-1392-s40_STFP_ASV2600_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_spurca_P3-bc1059-1392-s56_STFP_ASV2599_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_spurca_P3-bc1059-1392-s84_STFP_ASV2598_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_varaderana_P3-bc1060-513-s1610_STFP_ASV2039_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_varaderana_P3-bc1060-513-s20_STFP_ASV2570_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_varaderana_P3-bc1060-513-s21_STFP_ASV2568_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_varaderana_P3-bc1060-513-s26_STFP_ASV2034_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_varaderana_P3-bc1060-513-s30_STFP_ASV2569_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_varaderana_P3-bc1060-513-s56_STFP_ASV2564_CCAMF,Correct,Correct,Correct,Correct,NA
Dominikia_duoreactiva_P3-bc1062-1141-s21_STFP_ASV2080_CCAMF,Outdated,Wrong,Outdated,Wrong,NA
Dominikia_duoreactiva_P3-bc1062-1141-s469_STFP_ASV2398_CCAMF,Outdated,Wrong,Outdated,Correct,NA
Dominikia_duoreactiva_P3-bc1062-1141-s8_STFP_ASV2400_CCAMF,Outdated,Wrong,Outdated,Correct,NA
Dominikia_duoreactiva_P3-bc1062-1141-s9_STFP_ASV2402_CCAMF,Outdated,Wrong,Outdated,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s266_STFP_ASV2004_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s2787_STFP_ASV2044_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s377_STFP_ASV2041_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s380_STFP_ASV2372_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s444_STFP_ASV2083_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s63_STFP_ASV2377_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s67_STFP_ASV2374_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1063-1132-s68_STFP_ASV2380_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P3-bc1063-1132-s71_STFP_ASV2379_CCAMF,Correct,Correct,Correct,Correct,NA
