original_id	new_id	unique_ID	culture_original	culture_notes	culture	genus_original	species_original	source_code	genus	species	source_original	source	platform	sequencing_effort	successfull	read_count	notes	Isolate present in Nanopore and Pacbio?	Corresponding code on Nanopore tables
Ac_Laevis_BEG242_1G_cut	ZUII_Acaulospora_0_Laevis	z118	BEG242_1G		BEG242	Ac.	Laevis	ZUII	Acaulospora	laevis	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_RSII	zuzana_Lib-5090	Low	11		N	
Se_deserticola_NC302A_1A_cut	ZUII_Septoglomus_0_deserticola	z119	NC302A_1A		NC302A	Se.	deserticola	ZUII	Septoglomus	deserticola	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_RSII	zuzana_Lib-5090	Low	7		Y	NC302A
G_rosea_BEG9_1Na_.cut	ZU_Gigaspora_0_rosea	z12	BEG9_1Na		BEG9	G.	rosea	ZU	Gigaspora	rosea	BEG (cultured in IBOT Pruhonice) - DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	265		N	
Rh_Irregularis_Chomutov_10B_cut	ZUII_Rhizophagus_0_Irregularis	z120	Chomutov_10B		Chomutov	Rh.	Irregularis	ZUII	Rhizophagus	irregularis	IBOT collection (Pruhonice) - DNA extracted from 10 spores	IBOT	Pacbio_RSII	zuzana_Lib-5090	Low	4		N	
Cl_Etunicatum_IN101_10B_cut	ZUII_Entrophospora_0_Etunicatum	z121	IN101_10B		IN101	Cl.	Etunicatum	ZUII	Entrophospora	etunicata	INVAM - DNA extracted from 10 spores	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	1		Y	IN 101 B
Rh_Irregularis_Chomutov_5A_cut	#N/A	z122	Chomutov_5A		Chomutov	Rh.	Irregularis	ZUII	Rhizophagus	irregularis	IBOT collection (Pruhonice) - DNA extracted from 5 spores	IBOT	Pacbio_RSII	zuzana_Lib-5563	No	0		N	
Ka_bistrata_Blaszk7_10B_cut	ZUII_Kamienskia_0_bistrata	z123	Blaszk7_10B		Blaszk7	Ka.	bistrata	ZUII	Kamienskia	bistrata	Janusz Blaszkowski collection - DNA extracted from 10 spores	BLASZ	Pacbio_RSII	zuzana_Lib-5563	Low	38		N	
Pa_brasilianum_BR105_1C_cut	ZUII_Paraglomus_0_brasilianum	z124	BR105_1C		BR105	Pa.	brasilianum	ZUII	Paraglomus	brasilianum	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	37		Y	BR 105
Cl_etunicatum_BEG247_1C_cut	ZUII_Entrophospora_0_etunicatum	z125	BEG247_1C		BEG247	Cl.	etunicatum	ZUII	Entrophospora	etunicata	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	32		N	
En_infrequens_Blaszk3_10A_cut	ZUII_Entrophospora_0_infrequens	z126	Blaszk3_10A		Blaszk3	En.	infrequens	ZUII	Entrophospora	infrequens	Janusz Blaszkowski collection - DNA extracted from 10 spores	BLASZ	Pacbio_RSII	zuzana_Lib-5563	Low	22		N	
Pa_scintillans_Blaszk6_5B_cut	ZUII_Paraglomus_0_scintillans	z127	Blaszk6_5B		Blaszk6	Pa.	scintillans	ZUII	Paraglomus	scintillans	Janusz Blaszkowski collection - DNA extracted from 5 spores	BLASZ	Pacbio_RSII	zuzana_Lib-5563	Low	33		N	
Di_spurca_W6227_5C5_cut	ZUII_Diversispora_0_spurca	z128	W6227_5C5		W6227	Di.	spurca	ZUII	Diversispora	spurca	Claudia Kruger collection in Průhonice - DNA extracted from 5 spores	KRUGER	Pacbio_RSII	zuzana_Lib-5563	Low	2		N	
Am_gerdemannii_MT106_5A_cut	ZUII_Ambispora_0_gerdemannii	z129	MT106_5A		MT106	Am.	gerdemannii	ZUII	Ambispora	gerdemannii	INVAM - DNA extracted from 5 spores	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	2		Y	MT106
P_occultum_CU126_5B_cut	ZU_Paraglomus_0_occultum	z13	CU126_5B		CU126	P.	occultum	ZU	Paraglomus	occultum	INVAM - DNA extracted from 5 spores	INVAM	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	399		N	
Ac_laevis_BEG13_5_2_cut	ZUII_Acaulospora_0_laevis	z130	BEG13_5_2		BEG13	Ac.	laevis	ZUII	Acaulospora	laevis	BEG (Dijon) DNA extracted from 5 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	9		N	
Pa_occultum_CU126_1C_cut	ZUII_Paraglomus_0_occultum	z131	CU126_1C		CU126	Pa.	occultum	ZUII	Paraglomus	occultum	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	4		N	
Pa_occultum_CU126_5A_cut	ZUII_Paraglomus_0_occultum	z132	CU126_5A		CU126	Pa.	occultum	ZUII	Paraglomus	occultum	INVAM - DNA extracted from 5 spores	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	4		N	
