"","reads.in","reads.out"
"m64141e_241218_163908.hifi_reads.F8--R1.hifi_reads.fastq.gz",727,662
"m64141e_241218_163908.hifi_reads.F8--R10.hifi_reads.fastq.gz",1113,1025
"m64141e_241218_163908.hifi_reads.F8--R11.hifi_reads.fastq.gz",7,7
"m64141e_241218_163908.hifi_reads.F8--R12.hifi_reads.fastq.gz",416,389
"m64141e_241218_163908.hifi_reads.F8--R13.hifi_reads.fastq.gz",2018,1815
"m64141e_241218_163908.hifi_reads.F8--R15.hifi_reads.fastq.gz",41,37
"m64141e_241218_163908.hifi_reads.F8--R2.hifi_reads.fastq.gz",2123,1931
"m64141e_241218_163908.hifi_reads.F8--R5.hifi_reads.fastq.gz",8,4
"m64141e_241218_163908.hifi_reads.F8--R6.hifi_reads.fastq.gz",11,10
"m64141e_241218_163908.hifi_reads.F8--R7.hifi_reads.fastq.gz",450,413
"m64141e_241218_163908.hifi_reads.F8--R9.hifi_reads.fastq.gz",8,8
