asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
zuzana_ASV_22	556	Racocetra_gregaria	z39|z40|z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_22
zuzana_ASV_23	548	Septoglomus_viscosum	z3	AH179	Single	Septoglomus_viscosum_AH179_zuzana_ASV_23
zuzana_ASV_24	537	Diversispora_epigaea	z46|z53|z58	KS210|KS211|KS212	Multi	Diversispora_epigaea_KS210|KS211|KS212_zuzana_ASV_24
zuzana_ASV_25	536	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_25
zuzana_ASV_26	507	Ambispora_gerdemannii	z60	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_ASV_26
zuzana_ASV_27	495	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_27
zuzana_ASV_28	482	Gigaspora_rosea	z42|z41|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_ASV_28
zuzana_ASV_29	458	Racocetra_gregaria	z39|z40|z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_29
zuzana_ASV_30	442	Racocetra_gregaria	z39|z40|z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_30
zuzana_ASV_31	426	Gigaspora_rosea	z42|z41|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_ASV_31
zuzana_ASV_32	426	Racocetra_sp	z4	179_Blask4	Single	Racocetra_sp_179_Blask4_zuzana_ASV_32
zuzana_ASV_33	423	Acaulospora_morrowiae	z50	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_33
zuzana_ASV_34	420	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_34
zuzana_ASV_35	397	Racocetra_gregaria	z39|z40	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_35
zuzana_ASV_36	397	Septoglomus_viscosum	z24	AH179	Single	Septoglomus_viscosum_AH179_zuzana_ASV_36
zuzana_ASV_37	321	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_37
zuzana_ASV_38	318	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_38
zuzana_ASV_39	313	Corymbiglomus_corymbiforme	z17|z16	Blaszk5	Single	Corymbiglomus_corymbiforme_Blaszk5_zuzana_ASV_39
zuzana_ASV_40	284	Funneliformis_mosseae	z20|z14	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_40
zuzana_ASV_41	267	Racocetra_gregaria	z39|z40|z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_41
zuzana_ASV_42	263	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_42
zuzana_ASV_43	259	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_43
zuzana_ASV_44	255	Racocetra_gregaria	z39|z40|z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_44
zuzana_ASV_45	251	Dentiscutata_heterogama	z6|z15|z28	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_45
zuzana_ASV_46	247	Many_species	z56|z57|z22	WV685|BR983A|CU126	Multi	Many_species_WV685|BR983A|CU126_zuzana_ASV_46
zuzana_ASV_47	242	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_47
zuzana_ASV_48	237	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_48
zuzana_ASV_49	231	Racocetra_sp	z4	179_Blask4	Single	Racocetra_sp_179_Blask4_zuzana_ASV_49
zuzana_ASV_50	224	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_50
zuzana_ASV_51	218	Gigaspora_rosea	z12|z5	BEG9	Single	Gigaspora_rosea_BEG9_zuzana_ASV_51
zuzana_ASV_52	216	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_52
zuzana_ASV_53	202	Ambispora_gerdemannii	z61|z55	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_ASV_53
zuzana_ASV_54	201	Funneliformis_mosseae	z54|z59|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_54
zuzana_ASV_55	201	Racocetra_gregaria	z39|z40	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_55
zuzana_ASV_56	186	Ambispora_fennica	z23	Af2	Single	Ambispora_fennica_Af2_zuzana_ASV_56
zuzana_ASV_57	185	Funneliformis_mosseae	z20|z14	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_57
zuzana_ASV_58	179	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_58
zuzana_ASV_59	171	Racocetra_gregaria	z39|z40|z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_59
zuzana_ASV_60	168	Scutellospora_calospora	z26|z8	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_60
zuzana_ASV_61	167	Funneliformis_mosseae	z54|z59|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_61
zuzana_ASV_62	162	Dentiscutata_heterogama	z6|z15|z28	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_62
zuzana_ASV_63	149	Ambispora_gerdemannii	z61|z55	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_ASV_63
zuzana_ASV_64	137	Ambispora_gerdemannii	z55	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_ASV_64
zuzana_ASV_65	137	Funneliformis_mosseae	z54|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_65
zuzana_ASV_66	137	Gigaspora_rosea	z12|z5	BEG9	Single	Gigaspora_rosea_BEG9_zuzana_ASV_66
zuzana_ASV_67	127	Dentiscutata_heterogama	z6|z15|z28	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_67
zuzana_ASV_68	125	Acaulospora_koskei	z56	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_68
zuzana_ASV_69	124	Dentiscutata_heterogama	z15|z28	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_69
zuzana_ASV_70	118	Dentiscutata_heterogama	z6|z15|z28	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_70
zuzana_ASV_71	111	Many_species	z11|z22|z13	CU132|CU126	Multi	Many_species_CU132|CU126_zuzana_ASV_71
zuzana_ASV_72	107	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_72
zuzana_ASV_73	105	Funneliformis_mosseae	z54|z59|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_73
zuzana_ASV_74	103	Scutellospora_calospora	z26|z8	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_74
zuzana_ASV_75	96	Paraglomus_laccatum	z1	AH960_55	Single	Paraglomus_laccatum_AH960_55_zuzana_ASV_75
zuzana_ASV_76	95	Many_species	z16|z29	Blaszk5_SA101	Single	Many_species_Blaszk5_SA101_zuzana_ASV_76
zuzana_ASV_77	95	Scutellospora_calospora	z8	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_77
zuzana_ASV_78	94	Acaulospora_koskei	z44|z56|z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_78
zuzana_ASV_79	94	Funneliformis_mosseae	z54|z59|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_79
zuzana_ASV_80	89	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_80
zuzana_ASV_81	88	Dentiscutata_heterogama	z43|z38	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_81
zuzana_ASV_82	88	Funneliformis_mosseae	z54|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_82
zuzana_ASV_83	86	Saccharomyces_cerevisiae	z25	Yeast	Single	Saccharomyces_cerevisiae_Yeast_zuzana_ASV_83
zuzana_ASV_84	81	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_84
zuzana_ASV_85	81	Gigaspora_rosea	z12|z5	BEG9	Single	Gigaspora_rosea_BEG9_zuzana_ASV_85
zuzana_ASV_86	80	Ambispora_gerdemannii	z61|z55	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_ASV_86
zuzana_ASV_87	77	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_87
zuzana_ASV_88	74	Many_species	z54|z2	BEG12|PH5	Multi	Many_species_BEG12|PH5_zuzana_ASV_88
zuzana_ASV_89	64	Funneliformis_mosseae	z54|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_89
zuzana_ASV_90	56	Funneliformis_mosseae	z54|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_90
zuzana_ASV_91	52	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_91
zuzana_ASV_92	52	Racocetra_gregaria	z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_ASV_92
zuzana_ASV_93	50	Ambispora_fennica	z23	Af2	Single	Ambispora_fennica_Af2_zuzana_ASV_93
zuzana_ASV_94	50	Ambispora_fennica	z23	Af2	Single	Ambispora_fennica_Af2_zuzana_ASV_94
zuzana_ASV_95	50	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_95
zuzana_ASV_96	48	Septoglomus_viscosum	z24	AH179	Single	Septoglomus_viscosum_AH179_zuzana_ASV_96
zuzana_ASV_97	47	Many_species	z16|z4	_Blaszk5|Blask4	Multi	Many_species__Blaszk5|Blask4_zuzana_ASV_97
zuzana_ASV_98	45	Funneliformis_mosseae	z30	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_98
zuzana_ASV_99	45	Scutellospora_calospora	z26	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_99
zuzana_ASV_100	44	Funneliformis_mosseae	z54|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_100
zuzana_ASV_101	42	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_101
zuzana_ASV_102	42	Acaulospora_morrowiae	z50	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_102
zuzana_ASV_103	42	Funneliformis_mosseae	z20	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_103
zuzana_ASV_104	39	Many_species	z11|z22	CU132|CU126	Multi	Many_species_CU132|CU126_zuzana_ASV_104
zuzana_ASV_105	39	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_105
zuzana_ASV_106	39	Gigaspora_rosea	z12|z5	BEG9	Single	Gigaspora_rosea_BEG9_zuzana_ASV_106
zuzana_ASV_107	37	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_107
zuzana_ASV_108	37	Corymbiglomus_corymbiforme	z17	Blaszk5	Single	Corymbiglomus_corymbiforme_Blaszk5_zuzana_ASV_108
zuzana_ASV_109	35	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_109
zuzana_ASV_110	35	Entrophospora_lutea	z29	SA101	Single	Entrophospora_lutea_SA101_zuzana_ASV_110
zuzana_ASV_111	33	Funneliformis_mosseae	z54	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_111
zuzana_ASV_112	32	Corymbiglomus_corymbiforme	z17	Blaszk5	Single	Corymbiglomus_corymbiforme_Blaszk5_zuzana_ASV_112
zuzana_ASV_113	32	Funneliformis_mosseae	z20	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_113
zuzana_ASV_114	32	Saccharomyces_cerevisiae	z25	Yeast	Single	Saccharomyces_cerevisiae_Yeast_zuzana_ASV_114
zuzana_ASV_115	31	Acaulospora_koskei	z56	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_115
zuzana_ASV_116	31	Funneliformis_mosseae	z19	BEG95	Single	Funneliformis_mosseae_BEG95_zuzana_ASV_116
zuzana_ASV_117	30	Scutellospora_calospora	z8	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_117
zuzana_ASV_118	29	Funneliformis_mosseae	z54|z48	BEG12	Single	Funneliformis_mosseae_BEG12_zuzana_ASV_118
zuzana_ASV_119	29	Paraglomus_laccatum	z1	AH960_55	Single	Paraglomus_laccatum_AH960_55_zuzana_ASV_119
zuzana_ASV_120	28	Acaulospora_koskei	z56	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_120
zuzana_ASV_121	28	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_121
zuzana_ASV_122	27	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_122
zuzana_ASV_123	27	Funneliformis_mosseae	z19	BEG95	Single	Funneliformis_mosseae_BEG95_zuzana_ASV_123
zuzana_ASV_124	27	Scutellospora_calospora	z26	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_124
zuzana_ASV_125	26	Many_species	z11|z22	CU132|CU126	Multi	Many_species_CU132|CU126_zuzana_ASV_125
zuzana_ASV_126	25	Diversispora_epigaea	z46	KS210	Single	Diversispora_epigaea_KS210_zuzana_ASV_126
zuzana_ASV_127	25	Paraglomus_laccatum	z1	AH960_55	Single	Paraglomus_laccatum_AH960_55_zuzana_ASV_127
zuzana_ASV_128	24	Acaulospora_koskei	z56	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_128
zuzana_ASV_129	24	Acaulospora_koskei	z56	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_129
zuzana_ASV_130	24	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_130
zuzana_ASV_131	24	Funneliformis_mosseae	z20	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_131
zuzana_ASV_132	23	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_132
zuzana_ASV_133	23	Ambispora_gerdemannii	z60	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_ASV_133
zuzana_ASV_134	23	Diversispora_epigaea	z46	KS210	Single	Diversispora_epigaea_KS210_zuzana_ASV_134
zuzana_ASV_135	23	Funneliformis_mosseae	z19	BEG95	Single	Funneliformis_mosseae_BEG95_zuzana_ASV_135
zuzana_ASV_136	23	Racocetra_sp.	z4	179_Blask4	Single	Racocetra_sp._179_Blask4_zuzana_ASV_136
zuzana_ASV_137	22	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_137
zuzana_ASV_138	21	Paraglomus_laccatum	z1	AH960_55	Single	Paraglomus_laccatum_AH960_55_zuzana_ASV_138
zuzana_ASV_139	20	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_139
zuzana_ASV_140	20	Dentiscutata_heterogama	z15|z28	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_140
zuzana_ASV_141	19	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_141
zuzana_ASV_142	19	Ambispora_gerdemannii	z55	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_ASV_142
zuzana_ASV_143	18	Dentiscutata_heterogama	z6	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_143
zuzana_ASV_144	18	Scutellospora_calospora	z8	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_144
zuzana_ASV_145	17	Diversispora_epigaea	z46	KS210	Single	Diversispora_epigaea_KS210_zuzana_ASV_145
zuzana_ASV_146	17	Diversispora_epigaea	z53	KS211	Single	Diversispora_epigaea_KS211_zuzana_ASV_146
zuzana_ASV_147	17	Funneliformis_mosseae	z19	BEG95	Single	Funneliformis_mosseae_BEG95_zuzana_ASV_147
zuzana_ASV_148	17	Gigaspora_rosea	z12|z5	BEG9	Single	Gigaspora_rosea_BEG9_zuzana_ASV_148
zuzana_ASV_149	17	Racocetra_sp.	z4	179_Blask4	Single	Racocetra_sp._179_Blask4_zuzana_ASV_149
zuzana_ASV_150	16	Many_species	z16|z4	_Blaszk5|Blask4	Multi	Many_species__Blaszk5|Blask4_zuzana_ASV_150
zuzana_ASV_151	16	Funneliformis_mosseae	z20	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_151
zuzana_ASV_152	14	Ambispora_fennica	z23	Af2	Single	Ambispora_fennica_Af2_zuzana_ASV_152
zuzana_ASV_153	14	Acaulospora_koskei	z56	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_153
zuzana_ASV_154	14	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_154
zuzana_ASV_155	14	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_155
zuzana_ASV_156	14	Dentiscutata_heterogama	z43	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_ASV_156
zuzana_ASV_157	13	Acaulospora_koskei	z56	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_157
zuzana_ASV_158	13	Corymbiglomus_corymbiforme	z17	Blaszk5	Single	Corymbiglomus_corymbiforme_Blaszk5_zuzana_ASV_158
zuzana_ASV_159	12	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_159
zuzana_ASV_160	12	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_160
zuzana_ASV_161	12	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_161
zuzana_ASV_162	12	Funneliformis_mosseae	z20	BEG161	Single	Funneliformis_mosseae_BEG161_zuzana_ASV_162
zuzana_ASV_163	12	Scutellospora_calospora	z26	IL209	Single	Scutellospora_calospora_IL209_zuzana_ASV_163
zuzana_ASV_164	11	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_164
zuzana_ASV_165	11	Diversispora_epigaea	z53	KS211	Single	Diversispora_epigaea_KS211_zuzana_ASV_165
zuzana_ASV_166	9	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_166
zuzana_ASV_167	9	Dentiscutata_heterogama	z6|z28	BEG35	Single	Dentiscutata_heterogama_BEG35_zuzana_ASV_167
zuzana_ASV_168	8	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_168
zuzana_ASV_169	8	Diversispora_epigaea	z46	KS210	Single	Diversispora_epigaea_KS210_zuzana_ASV_169
zuzana_ASV_170	8	Diversispora_epigaea	z53	KS211	Single	Diversispora_epigaea_KS211_zuzana_ASV_170
zuzana_ASV_171	8	Gigaspora_rosea	z12	BEG9	Single	Gigaspora_rosea_BEG9_zuzana_ASV_171
zuzana_ASV_172	7	Acaulospora_koskei	z52	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_172
zuzana_ASV_173	6	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_173
zuzana_ASV_174	5	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_174
zuzana_ASV_175	5	Diversispora_epigaea	z46	KS210	Single	Diversispora_epigaea_KS210_zuzana_ASV_175
zuzana_ASV_176	5	Diversispora_epigaea	z58	KS212	Single	Diversispora_epigaea_KS212_zuzana_ASV_176
zuzana_ASV_177	4	Ambispora_fennica	z23	Af2	Single	Ambispora_fennica_Af2_zuzana_ASV_177
zuzana_ASV_178	4	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_178
zuzana_ASV_179	4	Acaulospora_morrowiae	z50	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_179
zuzana_ASV_180	4	Septoglomus_viscosum	z3	AH179	Single	Septoglomus_viscosum_AH179_zuzana_ASV_180
zuzana_ASV_181	3	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_181
zuzana_ASV_182	3	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_182
zuzana_ASV_183	3	Acaulospora_koskei	z44	WV685	Single	Acaulospora_koskei_WV685_zuzana_ASV_183
zuzana_ASV_184	3	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_184
zuzana_ASV_185	3	Gigaspora_rosea	z5	BEG9	Single	Gigaspora_rosea_BEG9_zuzana_ASV_185
zuzana_ASV_186	3	Gigaspora_rosea	z42	BR155B	Single	Gigaspora_rosea_BR155B_zuzana_ASV_186
zuzana_ASV_187	3	Racocetra_sp.	z4	179_Blask4	Single	Racocetra_sp._179_Blask4_zuzana_ASV_187
zuzana_ASV_188	2	Gigaspora_rosea	z33	BR155B	Single	Gigaspora_rosea_BR155B_zuzana_ASV_188
zuzana_ASV_189	1	Entrophospora_infrequens	z31	Blaszk3	Single	Entrophospora_infrequens_Blaszk3_zuzana_ASV_189
zuzana_RSII_ASV_1	736	Multiple_species	z44|z57|z50|z129|z138|z113|z101|z96|z99|z124|z94|z97|z95|z140	WV685|BR983A|MT106|BEG247|IN101|CR308|BR105|FL710|Chomutov|PH5	Multi	Multiple_species_WV685|BR983A|MT106|BEG247|IN101|CR308|BR105|FL710|Chomutov|PH5_zuzana_RSII_ASV_1
zuzana_RSII_ASV_2	324	Multiple_species	z57|z101|z97	BR983A|IN101|FL710	Multi	Multiple_species_BR983A|IN101|FL710_zuzana_RSII_ASV_2
zuzana_RSII_ASV_3	160	Multiple_species	Z99|124	CR308|BR105	Multi	Multiple_species_CR308|BR105_zuzana_RSII_ASV_3
zuzana_RSII_ASV_4	153	Scutellospora_calospora	z105	AU212B	Single	Scutellospora_calospora_AU212B_zuzana_RSII_ASV_4
zuzana_RSII_ASV_5	142	Rhizophagus_Irregularis	z120|z95	Chomutov	Single	Rhizophagus_Irregularis_Chomutov_zuzana_RSII_ASV_5
zuzana_RSII_ASV_6	65	Ambispora_gerdemannii	z60	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_RSII_ASV_6
zuzana_RSII_ASV_7	49	Entrophospora_Etunicatum	z113	IN101	Single	Entrophospora_Etunicatum_IN101_zuzana_RSII_ASV_7
zuzana_RSII_ASV_8	48	Acaulospora_morrowiae	z32	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_RSII_ASV_8
zuzana_RSII_ASV_9	47	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_9
zuzana_RSII_ASV_10	44	Entrophospora_etunicatum	z137|z101	BEG247|IN101	Multi	Entrophospora_etunicatum_BEG247|IN101_zuzana_RSII_ASV_10
zuzana_RSII_ASV_11	42	Acaulospora_Laevis	z106	BEG26	Single	Acaulospora_Laevis_BEG26_zuzana_RSII_ASV_11
zuzana_RSII_ASV_12	41	Acaulospora_Laevis	z98	BEG26	Single	Acaulospora_Laevis_BEG26_zuzana_RSII_ASV_12
zuzana_RSII_ASV_13	40	Ambispora_leptoticha	z104	CR312	Single	Ambispora_leptoticha_CR312_zuzana_RSII_ASV_13
zuzana_RSII_ASV_14	40	Gigaspora_rosea	z42|z41|z33|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_RSII_ASV_14
zuzana_RSII_ASV_15	39	Entrophospora_Luteum	z96|z99|z114	CR308	Single	Entrophospora_Luteum_CR308_zuzana_RSII_ASV_15
zuzana_RSII_ASV_16	39	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_16
zuzana_RSII_ASV_17	39	Gigaspora_rosea	z41|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_RSII_ASV_17
zuzana_RSII_ASV_18	38	Kamienskia_bistrata	z123	Blaszk7	Single	Kamienskia_bistrata_Blaszk7_zuzana_RSII_ASV_18
zuzana_RSII_ASV_19	37	Multiple_species	z53|z142	KS211|BEG239	Multi	Multiple_species_KS211|BEG239_zuzana_RSII_ASV_19
zuzana_RSII_ASV_20	36	Dentiscutata_heterogama	z43|z38|z51	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_20
zuzana_RSII_ASV_21	35	Gigaspora_rosea	z42|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_RSII_ASV_21
zuzana_RSII_ASV_22	33	Paraglomus_scintillans	z127	Blaszk6	Single	Paraglomus_scintillans_Blaszk6_zuzana_RSII_ASV_22
zuzana_RSII_ASV_23	32	Entrophospora_etunicatum	z125	BEG247	Single	Entrophospora_etunicatum_BEG247_zuzana_RSII_ASV_23
zuzana_RSII_ASV_24	31	Scutellospora_calospora	z109	BEG245	Single	Scutellospora_calospora_BEG245_zuzana_RSII_ASV_24
zuzana_RSII_ASV_25	30	Ambispora_gerdemannii	Z61|z55	ON205A	Single	Ambispora_gerdemannii_ON205A_zuzana_RSII_ASV_25
zuzana_RSII_ASV_26	30	Racocetra_gregaria	z40|z49	BEG243	Single	Racocetra_gregaria_BEG243_zuzana_RSII_ASV_26
zuzana_RSII_ASV_27	27	Acaulospora_laevis	z108|z118	BEG242	Single	Acaulospora_laevis_BEG242_zuzana_RSII_ASV_27
zuzana_RSII_ASV_28	27	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_28
zuzana_RSII_ASV_29	26	Gigaspora_rosea	z42|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_RSII_ASV_29
zuzana_RSII_ASV_30	25	Dentiscutata_heterogama	z35|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_30
zuzana_RSII_ASV_31	24	Paraglomus_Brasilianum	z97	FL710	Single	Paraglomus_Brasilianum_FL710_zuzana_RSII_ASV_31
zuzana_RSII_ASV_32	24	Scutellospora_calospora	z111|z100	BEG245	Single	Scutellospora_calospora_BEG245_zuzana_RSII_ASV_32
zuzana_RSII_ASV_33	23	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_33
zuzana_RSII_ASV_34	22	Entrophospora_luteum	z139	SA101	Single	Entrophospora_luteum_SA101_zuzana_RSII_ASV_34
zuzana_RSII_ASV_35	22	Dentiscutata_heterogama	z43|z38	BR154	Single	Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_35
zuzana_RSII_ASV_36	22	Entrophospora_infrequens	z126	Blaszk3	Single	Entrophospora_infrequens_Blaszk3_zuzana_RSII_ASV_36
zuzana_RSII_ASV_37	21	Dentiscutata_heterogama	z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_37
