"","barcode","median"
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/R_irregularis_PH5_1A_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ra_gregaria_BEG243_1A_cut.fastq.gz","gz",2353
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ra_gregaria_BEG243_1B_cut.fastq.gz","gz",2353
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ra_gregaria_BEG243_1C_cut.fastq.gz","gz",2352
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Racocetra_sp_179_Blask4_10A_cut.fastq.gz","gz",2352
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/S_calospora_IL209_1A_cut.fastq.gz","gz",2375
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/S_calospora_IL209_1C_cut.fastq.gz","gz",2375
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/S_cerrevisiae_Yeast_cut.fastq.gz","gz",2591
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/S_viscosum_AH179_15_1A_cut.fastq.gz","gz",2291
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/S_viscosum_AH179_15_1B_cut.fastq.gz","gz",2825
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/S_viscosum_AH179_15_1C_cut.fastq.gz","gz",2246
