sample	raw	trimmed	filtered	denoised	nobim
m64141e_241218_163908.hifi_reads.F7--R11.hifi_reads.fastq.gz	1700	1558	1291	1288	1288
m64141e_241218_163908.hifi_reads.F7--R12.hifi_reads.fastq.gz	6	5	0	0	0
m64141e_241218_163908.hifi_reads.F7--R13.hifi_reads.fastq.gz	2	2	2	2	2
m64141e_241218_163908.hifi_reads.F7--R15.hifi_reads.fastq.gz	4	4	1	1	1
m64141e_241218_163908.hifi_reads.F7--R2.hifi_reads.fastq.gz	20	20	19	15	15
m64141e_241218_163908.hifi_reads.F7--R3.hifi_reads.fastq.gz	1	0	0	0	0
m64141e_241218_163908.hifi_reads.F7--R5.hifi_reads.fastq.gz	779	708	599	596	596
m64141e_241218_163908.hifi_reads.F7--R6.hifi_reads.fastq.gz	1859	1685	1393	1085	1085
m64141e_241218_163908.hifi_reads.F7--R9.hifi_reads.fastq.gz	4	4	0	0	0
m64141e_241218_163908.hifi_reads.F8--R1.hifi_reads.fastq.gz	727	662	540	530	530
m64141e_241218_163908.hifi_reads.F8--R10.hifi_reads.fastq.gz	1113	1025	892	542	537
m64141e_241218_163908.hifi_reads.F8--R11.hifi_reads.fastq.gz	7	7	0	0	0
m64141e_241218_163908.hifi_reads.F8--R12.hifi_reads.fastq.gz	416	389	314	309	309
m64141e_241218_163908.hifi_reads.F8--R13.hifi_reads.fastq.gz	2018	1815	1419	1419	1358
m64141e_241218_163908.hifi_reads.F8--R15.hifi_reads.fastq.gz	41	37	30	29	29
m64141e_241218_163908.hifi_reads.F8--R2.hifi_reads.fastq.gz	2123	1931	1576	1540	1540
m64141e_241218_163908.hifi_reads.F8--R5.hifi_reads.fastq.gz	8	4	3	3	3
m64141e_241218_163908.hifi_reads.F8--R6.hifi_reads.fastq.gz	11	10	1	1	1
m64141e_241218_163908.hifi_reads.F8--R7.hifi_reads.fastq.gz	450	413	349	339	339
m64141e_241218_163908.hifi_reads.F8--R9.hifi_reads.fastq.gz	8	8	7	6	6
total	48407	44233	36554	35108	33456
		91.40%	82.60%	79.40%	75.60%
